FOUND      [title_only  ] conf=1.00 | 10_1021_ja405997s              | [] Etudes Cristallographiques
NOT_FOUND  [not_found   ] conf=0.00 | 10_1021_ja511559d              | [1988] Synchrotron Radiation in Chemistry and Biology I; Topics in 
           cited in: "Using the "bond length with a ruler" relationship (E peak -E 0 )d 2 = const., [C"
FOUND      [title_year  ] conf=0.98 | 10_1021_jacs_8b10851           | [1958] Crystal Structure and Photoconductivity of Caesium Plumbohal
NOT_FOUND  [not_found   ] conf=0.00 | 10_1021_jacs_8b10851           | [1925] Sels complexes de l'iodure stanneux avec les iodures de rubi
           cited in: "The discovery of CH3NH3PbI3, a three dimensional (3D) compound that shares simil"
NOT_FOUND  [not_found   ] conf=0.00 | 10_1021_jacs_8b10851           | [1935] Sur les complexes iodés du germanium divalent
           cited in: "The discovery of CH3NH3PbI3, a three dimensional (3D) compound that shares simil"
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2009] Organometal Halide Perovskites as Visible-Light Sensitizers 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2012] Efficient Hybrid Solar Cells Based on Meso-Superstructured O
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2012] Lead Iodide Perovskite Sensitized All-Solid-State Submicron 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2013] Sequential deposition as a route to high-performance perovsk
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2013] Efficient inorganic-organic hybrid heterojunction solar cell
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2014] A hole-conductorfree, fully printable mesoscopic perovskite 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2014] Organohalide lead perovskites for photovoltaic applications
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2014] Perovskite as Light Harvester: A Game Changer in Photovoltai
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Promises and challenges of perovskite solar cells
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2013] Efficient planar heterojunction perovskite solar cells by va
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2013] Electron-Hole Diffusion Lengths Exceeding 1 Micrometer in an
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] Impact of microstructure on local carrier lifetime in perovs
FOUND      [title_year  ] conf=0.98 | 10_1021_jacs_8b10851           | [2016] Charge-Carrier Dynamics in 2D Hybrid Metal-Halide Perovskite
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2013] Organometal Perovskite Light Absorbers Toward a 20% Efficien
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] Perovskite Solar Cells: From Materials to Devices
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] Metal-halide perovskites for photovoltaic and light-emitting
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2017] Iodide management in formamidinium-lead-halide-based perovsk
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [1991] A low-cost, high-efficiency solar cell based on dye-sensitiz
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2016] Metal halide perovskites for energy applications
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2016] Hybrid organic-inorganic perovskites: low-cost semiconductor
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] Metal-halide perovskites for photovoltaic and light-emitting
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Understanding the physical properties of hybrid perovskites 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2016] Towards stable and commercially available perovskite solar c
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Properties and potential optoelectronic applications of lead
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Solution-processed semiconductors for next-generation photod
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2016] Perovskite photonic sources
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [1999] Organic-Inorganic Hybrid Materials as Semiconducting Channel
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2018] Organic-Inorganic Hybrid Halide Perovskites for Memories, Tr
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2017] Continuous-wave lasing in an organic-inorganic lead halide p
FOUND      [title_only  ] conf=1.00 | 10_1021_jacs_8b10851           | [1993] Lasing in robust cesium lead halide perovskite nanowires
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] Lead halide perovskite nanowire lasers with low lasing thres
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Printable organometallic perovskite enables large-area, low-
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2018] High spectral resolution of gamma-rays at room temperature b
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] Detection of X-ray photons by solution-processed lead halide
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Monolithic integration of hybrid perovskite single crystals 
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [1987] Dynamic disorder in methylammoniumtrihalogenoplumbates (II) 
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Local Polar Fluctuations in Lead Halide Perovskite Crystals
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2014] Analysis of Multivalley and Multibandgap Absorption and Enha
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2015] Principles of Chemical Bonding and Band Gap Engineering in H
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2017] Large polarons in lead halide perovskites
FOUND      [title_year  ] conf=0.99 | 10_1021_jacs_8b10851           | [2015] Rashba and Dresselhaus Effects in Hybrid Organic-Inorganic P
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2015] The Renaissance of Halide Perovskites and Their Evolution as
FOUND      [title_year  ] conf=1.00 | 10_1021_jacs_8b10851           | [2013] Semiconducting Tin and Lead Iodide Perovskites with Organic 
