Key,ETag,Article Citation,AccessionID,Last Updated UTC (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted
deprecated/oa_comm/xml/all/PMC10001703.xml,aee58fb7603de552a789ab5fe5c6a682,Phys Med Biol. 2023 Mar 21; 68(6):065003,PMC10001703,2026-05-14 23:37:16,36780696,CC BY,no
deprecated/oa_comm/xml/all/PMC10004261.xml,3eac27eaeedb879223fc29f58fb0706d,Adv Drug Alcohol Res. 2022 Dec 5; 2:10831,PMC10004261,2026-04-22 23:42:22,36908580,CC BY,no
deprecated/oa_comm/xml/all/PMC10006208.xml,a7e3f444a489a1c20059a4d53b3d7030,NPJ Regen Med. 2023 Mar 10; 8:14,PMC10006208,2026-05-30 23:36:41,36899012,CC BY,no
deprecated/oa_comm/xml/all/PMC10006343.xml,6b6ceed911f24b6efced84fa19d08ec2,ACS Infect Dis. 2023 Feb 21; 9(3):706-715,PMC10006343,2026-04-22 23:41:46,36802491,CC BY,no
deprecated/oa_comm/xml/all/PMC10006348.xml,33e4f04bb8663a4440ed24daa168bab6,Org Lett. 2023 Feb 27; 25(9):1420-1424,PMC10006348,2026-04-22 23:41:46,36847432,CC BY,no
deprecated/oa_comm/xml/all/PMC10008452.xml,ae16a7aaa766db8e5aaa32367c67fd9b,J Child Psychol Psychiatry. 2023 Aug 12; 64(8):1149-1158,PMC10008452,2026-04-22 23:42:14,36094018,CC BY,no
deprecated/oa_comm/xml/all/PMC10009406.xml,4f1e512c5a6b516d58123ee3d5e3b312,Psychol Med.; 53(4):1448-1457,PMC10009406,2026-04-22 23:41:45,37010215,CC BY,no
deprecated/oa_comm/xml/all/PMC10009897.xml,3a2982d9da04b60495f2ae3e655211c5,Acad Emerg Med. 2023 Feb 3; 30(2):110-123,PMC10009897,2026-04-22 23:41:54,36527333,CC BY,no
deprecated/oa_comm/xml/all/PMC10010434.xml,4d4de7f7f0b360437752a689d1bbf30c,Phys Med Biol. 2023 Mar 21; 68(6):065005,PMC10010434,2026-05-14 23:37:13,36848681,CC BY,no
deprecated/oa_comm/xml/all/PMC10012127.xml,ad78a2f9e20c71f44cc09497d372cadb,Front Clin Diabetes Healthc. 2022 Sep 8; 3:945768,PMC10012127,2026-04-22 23:41:46,36935840,CC BY,no
deprecated/oa_comm/xml/all/PMC10016624.xml,716b6d96195337e8960d055d7eed6ae5,Front Ophthalmol (Lausanne). 2022 Aug 26; 2:989002,PMC10016624,2026-04-22 23:42:34,36926308,CC BY,no
deprecated/oa_comm/xml/all/PMC10018408.xml,ff5bd0ea6b2528ec667b147b28d510f7,Int J Low Extrem Wounds. 2025 Mar 7; 24(1):225-234,PMC10018408,2026-04-21 23:39:37,36069031,CC BY,no
deprecated/oa_comm/xml/all/PMC10018809.xml,2d6cd00c1700f17ab6e5b766d894aefc,Environ Mol Mutagen. 2022 Dec 28; 63(8-9):389-399,PMC10018809,2026-04-22 23:41:53,36323641,CC BY,no
deprecated/oa_comm/xml/all/PMC10019095.xml,a795bc9dc4e44a7af2c02f4fdfa11258,J Autism Dev Disord. 2023 Jun 7; 53(8):3257-3271,PMC10019095,2026-04-22 23:42:01,35672616,CC BY,no
deprecated/oa_comm/xml/all/PMC10019749.xml,ed7cdc0f58dd2193311792b0fe0ffb84,Autophagy Rep.; 2(1):11-16,PMC10019749,2026-04-21 23:39:51,36936397,CC BY,no
deprecated/oa_comm/xml/all/PMC10022448.xml,c3e4b084b45e9540b6b5565a187c8f60,Stat (Int Stat Inst). 2022 Dec 25; 11(1):e506,PMC10022448,2026-04-22 23:41:49,36937572,CC BY,no
deprecated/oa_comm/xml/all/PMC10023569.xml,0d911202cdc735351fa329ce0d7ca28a,Nat Struct Mol Biol. 2023 Feb 9; 30(3):383-390,PMC10023569,2026-04-22 23:41:46,36759579,CC BY,no
deprecated/oa_comm/xml/all/PMC10024646.xml,4401e0f0b5e337b5bb32f65d61c47afc,Psychol Med.; 53(12):5615-5624,PMC10024646,2026-04-22 23:42:05,36117279,CC BY,no
deprecated/oa_comm/xml/all/PMC10028181.xml,43ba9ef541c904884cfab08b0664ab9b,Front Microbiol. 2023 Mar 7; 14:1146065,PMC10028181,2026-05-15 23:35:51,36960294,CC BY,no
deprecated/oa_comm/xml/all/PMC10028612.xml,8c782e364932ba078c2351e59d4c640d,J Org Chem. 2023 Mar 6; 88(6):3678-3696,PMC10028612,2026-04-22 23:41:46,36877600,CC BY,no
deprecated/oa_comm/xml/all/PMC10029328.xml,0ba4a13f8a4bef1ef4b8b0cc4e08112e,Endocr Relat Cancer. 2023 Mar 8; 30(4):e220373,PMC10029328,2026-04-22 23:42:19,36748842,CC BY,no
deprecated/oa_comm/xml/all/PMC10031873.xml,ba94c69f10268214020896b57655824c,Adv Healthc Mater. 2022 Oct 5; 11(19):2200206,PMC10031873,2026-04-21 23:39:21,35882512,CC BY,no
deprecated/oa_comm/xml/all/PMC10032570.xml,5b13da053caadfeb76093574f2d08a3e,ACS Chem Neurosci. 2023 Jan 24; 14(3):418-434,PMC10032570,2026-04-22 23:41:46,36692197,CC BY,no
deprecated/oa_comm/xml/all/PMC10034748.xml,334f3e4f0591b12187672532c3802ab2,Phys Med Biol. 2023 Apr 7; 68(7):075008,PMC10034748,2026-05-14 23:37:12,36854193,CC BY,no
deprecated/oa_comm/xml/all/PMC10035078.xml,2cbf27115cd845504597d376f5d061f8,Autophagy Rep.; 1(1):57075-575,PMC10035078,2026-04-21 23:39:37,36969095,CC BY,no
deprecated/oa_comm/xml/all/PMC10036794.xml,d46efa19835445468036d719ed4e118d,Front Plant Sci. 2023 Mar 10; 14:1053869,PMC10036794,2026-05-05 23:36:30,36968428,CC BY,no
deprecated/oa_comm/xml/all/PMC10038015.xml,b2cf352657d8f696a11040d8bc8b1f02,JAMA Netw Open. 2023 Jan 24; 6(1):e2252381,PMC10038015,2026-04-22 23:42:03,36692880,CC BY,no
deprecated/oa_comm/xml/all/PMC10041926.xml,941504e67e3f129db7f27a008ccb00e2,Iowa Med J. 1856 Jan; 3(1):nil1,PMC10041926,2026-05-21 23:35:53,37677585,CC0,no
deprecated/oa_comm/xml/all/PMC10042531.xml,01158084a456cf221873c7278a80a1fa,eLife.; 12:e85345,PMC10042531,2026-05-01 23:36:33,36961129,CC BY,no
deprecated/oa_comm/xml/all/PMC10045463.xml,d9d0bd6c24ceb019254d06560a2ce967,Biomedicines. 2023 Mar 7; 11(3):815,PMC10045463,2026-05-06 23:36:21,36979794,CC BY,no
deprecated/oa_comm/xml/all/PMC10046998.xml,f144e8ef04e981bd24fe5cc31bf56abd,Cancers (Basel). 2023 Mar 22; 15(6):1902,PMC10046998,2026-05-01 23:36:33,36980789,CC BY,no
deprecated/oa_comm/xml/all/PMC10050220.xml,97b4f9e48821a1224f58919526ae237d,Br J Nutr.; 130(1):20-32,PMC10050220,2026-04-22 23:41:59,36172885,CC BY,no
deprecated/oa_comm/xml/all/PMC10052773.xml,21516594612dab76ed0000becaf9c619,Tuberculosis (Edinb). 2023 Mar 1; 139:102326,PMC10052773,2026-04-28 23:40:57,36863206,CC BY,no
deprecated/oa_comm/xml/all/PMC10056789.xml,615cc176ceee42369521486312305a10,J Pers Med. 2023 Mar 20; 13(3):555,PMC10056789,2026-04-15 23:36:29,36983736,CC BY,no
deprecated/oa_comm/xml/all/PMC10059080.xml,c9a8aadb0fdc60494cc691c01c40279a,Skin Res Technol. 2023 Mar 6; 29(3):e13247,PMC10059080,2026-04-22 23:43:04,36973991,CC BY,no
deprecated/oa_comm/xml/all/PMC10060441.xml,67278484aac78433001d515acd94ec7c,Psychol Med.; 53(12):5778-5785,PMC10060441,2026-04-22 23:42:05,36177889,CC BY,no
deprecated/oa_comm/xml/all/PMC10062206.xml,2e09373599866ea987bbfad423f84cbe,Front Microbiol. 2023 Mar 16; 14:1094071,PMC10062206,2026-05-27 23:35:52,37007475,CC BY,no
deprecated/oa_comm/xml/all/PMC10062436.xml,0e3b5f25b66865aa0a0fbbfd1056d0c9,Autophagy Rep.; 1(1):21033-213,PMC10062436,2026-04-21 23:39:37,37009490,CC BY,no
deprecated/oa_comm/xml/all/PMC10062617.xml,30e9a4174d72f6267095f408f7ab0853,PLoS One. 2023 Mar 30; 18(3):e0283888,PMC10062617,2026-05-05 23:36:34,36996255,CC BY,no
deprecated/oa_comm/xml/all/PMC10068438.xml,f5d2b0816ddf39138d50b9500fecdc79,Cancer Epidemiol Biomarkers Prev. 2023 Apr 3; 32(4):487-495,PMC10068438,2026-04-22 23:42:59,36791345,CC BY,no
deprecated/oa_comm/xml/all/PMC10070245.xml,f0031658e77264c0e96bb9571cfc1da9,Sci Rep. 2023 Apr 3; 13:5418,PMC10070245,2026-05-02 23:36:20,37012284,CC BY,no
deprecated/oa_comm/xml/all/PMC10074861.xml,c645cc071c4efb214f0027c1ae71ec0e,J Magn Reson Imaging. 2023 Feb 27; 57(2):370-386,PMC10074861,2026-04-22 23:41:51,36165348,CC BY,no
deprecated/oa_comm/xml/all/PMC10076263.xml,0a5d02b975cdfc436b75ad173206c15e,Cell Death Discov. 2023 Apr 5; 9:114,PMC10076263,2026-04-25 23:35:33,37019900,CC BY,no
deprecated/oa_comm/xml/all/PMC10078487.xml,062a2d61f39c30210def74f3f2bcbcfc,Int J Older People Nurs. 2023 Jan 12; 18(1):e12490,PMC10078487,2026-04-22 23:41:48,35818900,CC BY,no
deprecated/oa_comm/xml/all/PMC10078619.xml,35a42176cc63e5cd45775573b4534557,Autophagy Rep.; 2(1):2178996,PMC10078619,2026-04-21 23:39:53,37034386,CC BY,no
deprecated/oa_comm/xml/all/PMC10081529.xml,dece1033910a80c28bb36f28f9149e45,Med Genet.; 34(4):275-286,PMC10081529,2026-04-22 23:42:29,37034418,CC BY,no
deprecated/oa_comm/xml/all/PMC10085577.xml,ed3ee2a7524d21520f1a9932703be4c5,BME Front.; 2021:9823268,PMC10085577,2026-04-22 23:42:13,37041754,CC BY,no
deprecated/oa_comm/xml/all/PMC10087494.xml,97ce82c3795e5e5feda740134b7bf65c,Phys Med Biol. 2023 Feb 21; 68(4):045005,PMC10087494,2026-05-20 23:35:44,36638543,CC BY,no
deprecated/oa_comm/xml/all/PMC10088454.xml,7d71c153f23d9bd06938fa6ff4acd69f,Curr Protoc. 2023 Apr 4; 3(4):e731,PMC10088454,2026-04-22 23:42:26,37014762,CC BY,no
deprecated/oa_comm/xml/all/PMC10090056.xml,8afe5b29390de8ec6430b1dbe5267e8a,Sci Rep. 2023 Apr 11; 13:5889,PMC10090056,2026-05-08 23:36:25,37041312,CC BY,no
deprecated/oa_comm/xml/all/PMC10094865.xml,8e8d3cf01fcfe2c04b485387dc567cd2,Int J Mol Sci. 2023 Mar 29; 24(7):6401,PMC10094865,2026-04-29 23:35:46,37047374,CC BY,no
deprecated/oa_comm/xml/all/PMC10096093.xml,9bd96df76414a5f6668bbbbbdfb201ab,Paediatr Perinat Epidemiol. 2023 Feb 9; 37(2):165-178,PMC10096093,2026-04-22 23:41:54,36756808,CC BY,no
